bottle.stl
Opening bottle.stl.
-3.371967 5.617400 -8.384700 
-5.420200 5.918033 -11.829734 
-4.423067 5.172033 -12.533067 
-4.285300 8.638467 -9.079600 
-3.887167 7.651200 -10.693900 
-3.463767 11.207433 -7.005900 
-2.840100 10.416500 -7.719533 
-4.358600 15.222168 -7.084800 
-3.027100 13.610200 -7.093267 
-7.191100 23.289232 -8.705132 
-4.768167 20.061632 -8.322600 
-10.757533 34.390934 -10.767067 
-7.668400 30.453798 -10.449200 
-12.637466 44.652996 -11.890167 
-9.962466 41.490433 -12.098267 
-11.371667 51.204834 -11.397499 
-9.896633 49.510132 -12.182101 
-8.217134 54.420368 -10.142034 
-7.595567 53.659939 -10.987766 
-5.668200 56.017334 -9.504833 
-5.083667 55.599072 -9.960767 
-4.753167 57.025898 -9.845700 
-3.871500 56.730732 -9.988800 
-4.849800 57.746933 -10.567734 
-3.780933 57.533936 -10.697166 
-5.069700 58.277496 -11.011500 
-4.006467 58.118633 -11.318400 
-5.058067 58.651836 -10.946033 
-4.071434 58.544033 -11.434001 
-4.787034 58.880871 -10.364400 
-3.926400 58.820236 -11.007133 
-4.338500 59.068237 -9.448800 
-3.603400 59.004833 -10.144467 
-3.888000 59.422466 -8.562099 
-3.221167 59.276997 -9.169033 
-3.600167 60.105301 -8.021966 
-2.930500 59.836597 -8.458533 
-3.489400 61.017933 -7.824700 
-2.800133 60.695965 -8.150200 
-3.446833 61.914032 -7.735834 
-2.762367 61.626934 -8.051833 
-2.984500 62.590534 -6.570633 
-2.591600 62.395733 -7.395033 
-1.609900 62.856831 -4.096300 
-1.016200 5.617400 -8.978066 
-2.073567 5.918033 -12.844933 
-0.919633 5.172033 -13.252967 
-1.704867 8.638467 -9.889167 
-0.888367 7.651200 -11.336800 
-1.329233 11.207433 -7.615533 
-0.592033 10.416500 -8.170834 
-1.590100 15.222168 -7.681133 
-0.515800 13.610200 -7.489700 
-2.603400 23.289232 -9.426700 
-0.756733 20.061632 -8.776667 
-4.003167 34.390934 -11.663933 
-1.361000 30.453798 -11.023800 
-4.875566 44.652996 -12.896399 
-2.005333 41.490433 -12.779766 
-4.547266 51.204834 -12.378600 
-2.201133 49.510132 -12.884633 
-3.352767 54.420334 -11.019267 
-1.779500 53.659866 -11.625366 
-2.270367 56.017334 -10.317400 
-1.160933 55.599033 -10.530034 
-1.823167 57.025928 -10.678101 
-0.806467 56.730732 -10.550632 
-1.826200 57.746967 -11.460500 
-0.750067 57.533966 -11.298301 
-1.917567 58.277496 -11.946599 
-0.806167 58.118633 -11.959133 
-1.925600 58.651836 -11.880768 
-0.834967 58.544033 -12.086400 
-1.834700 58.880871 -11.254567 
-0.820533 58.820236 -11.640134 
-1.670300 59.068237 -10.263400 
-0.762200 59.004833 -10.730667 
-1.495533 59.422466 -9.299633 
-0.679700 59.276997 -9.698266 
-1.376067 60.105301 -8.709267 
-0.607800 59.836597 -8.943334 
-1.327000 61.017933 -8.492200 
-0.572467 60.695965 -8.614567 
-1.310200 61.914032 -8.395599 
-0.564033 61.626934 -8.510400 
-1.167933 62.590500 -7.146767 
-0.570933 62.395733 -7.831333 
-0.485167 62.856766 -4.386200 
1.419533 5.617400 -8.924133 
1.436167 5.918033 -12.929199 
2.656234 5.172033 -13.021900 
1.009833 8.638467 -9.981200 
2.180434 7.651200 -11.165433 
0.916967 11.207433 -7.673000 
1.702300 10.416500 -8.035666 
1.344300 15.222168 -7.721100 
2.039833 13.610200 -7.348967 
2.312367 23.289232 -9.465767 
3.339100 20.061632 -8.601533 
3.300033 34.390934 -11.716201 
5.126767 30.453798 -10.808167 
3.570667 44.652996 -12.968333 
6.233866 41.490433 -12.544766 
2.904233 51.204834 -12.462466 
5.805767 49.510132 -12.662633 
1.940733 54.420334 -11.097667 
4.278333 53.659939 -11.428600 
1.372367 56.017303 -10.382333 
