"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-6.14567e-03,-1.37514e+02,6.68395e-01,-2.43415e-03,-6.98791e-04,1.47210e-05,8.88548e+12,1.07648e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-2.32414e-01,-1.16549e+02,2.54610e+01,-8.38909e-02,-2.39469e-02,2.81796e-04,5.19468e+12,3.69925e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-2.08108e+00,2.89466e+04,2.29068e+02,-6.99028e-01,-2.00344e-01,4.69835e-03,4.00293e+12,3.12059e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-4.69153e+00,7.87511e+04,5.16893e+02,-1.51944e+00,-4.37344e-01,7.02987e-03,4.18367e+12,6.79867e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-4.85743e+00,3.43899e+04,5.33465e+02,-1.51782e+00,-4.47431e-01,4.35310e-03,4.02312e+12,6.81080e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-5.35600e+00,3.23388e+05,5.98552e+02,-1.64435e+00,-4.97872e-01,4.55499e-03,4.15138e+12,7.45236e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-5.37203e+00,3.27911e+05,6.00471e+02,-1.63013e+00,-4.94180e-01,1.56747e-03,4.09380e+12,7.42841e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-5.40468e+00,5.64528e+05,6.12612e+02,-1.65289e+00,-5.05388e-01,1.11485e-02,4.07849e+12,7.59373e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-5.58800e+00,5.76522e+05,6.33131e+02,-1.71437e+00,-5.27984e-01,4.26088e-03,4.17086e+12,7.98808e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-5.64388e+00,7.17614e+05,6.44360e+02,-1.76435e+00,-5.43260e-01,6.17399e-03,4.18981e+12,8.33116e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-5.71395e+00,6.53163e+05,6.49705e+02,-1.81315e+00,-5.61021e-01,6.16460e-03,4.11695e+12,8.66764e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-5.73624e+00,6.41859e+05,6.51739e+02,-1.85183e+00,-5.69544e-01,3.52909e-04,4.14327e+12,9.00573e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-5.59639e+00,3.99484e+05,6.27644e+02,-1.83216e+00,-5.60954e-01,2.04429e-03,4.03938e+12,9.04476e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-5.62086e+00,2.84440e+05,6.26162e+02,-1.86454e+00,-5.53718e-01,5.69356e-04,4.16811e+12,9.43236e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-5.51378e+00,9.54534e+04,6.07591e+02,-1.85629e+00,-5.17348e-01,5.92031e-04,4.17322e+12,9.60115e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-5.39738e+00,-1.39968e+05,5.86316e+02,-1.84088e+00,-4.62769e-01,6.09745e-03,4.17753e+12,9.74751e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-5.15602e+00,-3.69977e+05,5.51547e+02,-1.78182e+00,-3.74719e-01,-5.12027e-04,4.02789e+12,9.66786e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-5.12402e+00,-6.61543e+05,5.37490e+02,-1.79088e+00,-3.12608e-01,-3.80239e-03,4.09372e+12,9.94134e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-4.91758e+00,-8.98930e+05,5.06279e+02,-1.74459e+00,-2.39974e-01,1.80882e-03,4.05389e+12,9.89603e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-4.79051e+00,-9.95248e+05,4.88871e+02,-1.73870e+00,-1.92803e-01,3.31963e-03,4.10601e+12,1.01150e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-4.52368e+00,-9.09395e+05,4.62741e+02,-1.70280e+00,-1.57924e-01,3.73454e-04,4.21752e+12,1.01522e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-4.23928e+00,-7.20501e+05,4.38416e+02,-1.66775e+00,-1.31688e-01,1.49421e-03,4.19863e+12,1.01910e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-3.92646e+00,-5.19834e+05,4.11403e+02,-1.63112e+00,-1.11805e-01,2.83150e-03,4.09872e+12,1.01501e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-3.67873e+00,-3.79186e+05,3.89349e+02,-1.61975e+00,-9.60049e-02,1.24504e-03,4.12191e+12,1.02008e+00,1.00000e-01,3.80000e-02,0.00000e+00
